Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points
"Schwalbe, Eric ",USA,169,1141,1468,01:19:35,06:32:02,06:14:51,14:30:35,1343
"Basile, Roberto ",ITA,170,1147,1485,01:26:30,06:56:26,05:47:56,14:33:29,1309
"Miller, Kasey ",USA,171,1150,1489,01:24:29,07:05:07,05:45:09,14:34:25,1297
"Riley, David ",USA,172,1152,1491,01:35:31,07:13:25,05:21:14,14:34:37,1295
"Nelson, Jeff ",USA,173,1157,1496,01:31:45,07:32:55,05:13:33,14:35:42,1282
"Beal, Daniel ",USA,174,1161,1501,01:01:17,06:49:08,06:23:03,14:36:10,1276
"Soberanis Nunez, Gilberto ",MEX,175,1177,1524,01:26:45,07:39:16,05:11:18,14:39:19,1239
"Jackson, Alex ",USA,176,1198,1565,01:25:10,06:52:38,06:10:47,14:44:46,1173
"Renkas, Michael ",USA,177,1209,1581,01:32:57,06:46:03,06:04:16,14:46:38,1151
"Thompson, Casey ",USA,178,1212,1584,01:27:16,07:32:35,05:16:54,14:47:05,1145
"Krzemienski, Matthew ",USA,179,1217,1592,01:10:47,07:31:42,05:37:32,14:48:40,1126
"Dauwalter, Tim ",USA,180,1223,1600,01:36:56,07:14:15,05:21:39,14:49:28,1117
"Karmanian, Trevor ",USA,181,1227,1607,01:30:48,07:13:48,05:47:33,14:50:09,1109
"Czapanskiy, Curtis ",USA,182,1228,1609,01:43:29,06:59:26,05:44:35,14:50:18,1107
"Gouletas, Louie ",USA,183,1229,1612,01:26:35,06:38:02,05:48:40,14:50:47,1101
"Braun, Eric ",USA,184,1230,1614,01:21:52,07:22:25,05:50:42,14:51:02,1098
"Young, Brian ",USA,185,1232,1616,01:13:54,08:17:17,05:03:27,14:51:12,1096
"Griffith, Jason ",USA,186,1235,1620,01:21:42,07:40:55,05:25:47,14:51:29,1093
"Gomez, Henry ",COL,187,1255,1653,01:42:43,07:41:08,05:08:47,14:57:02,1026
"Picker, Rory ",USA,188,1257,1655,01:09:34,06:41:14,06:46:48,14:57:10,1024
"Sharif, Shan ",USA,189,1261,1662,01:22:55,07:32:53,05:43:48,14:58:36,1007
"Hernandez, Carlos ",USA,190,1309,1745,01:39:09,08:00:34,05:08:28,15:12:59,1000
"Nugent, Corey ",USA,191,1310,1746,01:37:04,07:29:54,05:35:32,15:13:06,1000
"Tadalan, Paul ",USA,192,1313,1751,01:30:57,08:09:11,05:07:28,15:13:40,1000
"Rimnac, Steve ",USA,193,1321,1762,02:04:37,07:25:53,05:20:51,15:15:31,1000
"Mc Neely, Keith ",USA,194,1333,1782,01:37:56,07:11:10,06:05:26,15:18:24,1000
"Estaver, David ",USA,195,1344,1799,01:33:15,07:32:27,05:51:00,15:21:09,1000
"Vang, Meng ",USA,196,1354,1817,01:41:30,08:02:44,05:07:26,15:24:22,1000
"Cook, Alex ",USA,197,1363,1829,01:40:24,07:02:21,06:24:39,15:26:32,1000
"Ballweg, Zach ",USA,198,1371,1841,01:44:08,07:45:11,05:31:01,15:29:15,1000
"Hang, Yia ",USA,199,1385,1862,01:40:47,07:21:36,05:58:32,15:32:39,1000
"Swhier, Jeff ",USA,200,1389,1870,01:26:09,08:18:15,05:30:21,15:33:16,1000
"Gomez, Jimmy ",USA,201,1397,1880,01:45:29,07:45:59,05:34:34,15:34:55,1000
"Fergot, Ryan ",USA,202,1413,1916,01:48:50,07:21:56,06:08:16,15:41:24,1000
"Valigorsky, Mark ",USA,203,1418,1923,01:47:44,07:32:18,05:44:19,15:42:58,1000
"Thao, Lee ",USA,204,1421,1927,01:31:10,07:13:51,06:34:56,15:43:48,1000
"Ott, Kevin ",USA,205,1433,1947,01:29:12,07:25:36,06:30:05,15:48:07,1000
"Kaufman, Noah ",USA,206,1436,1950,01:31:11,08:02:29,05:41:27,15:49:38,1000
"Westgate, Judson ",USA,207,1438,1952,01:19:13,07:42:01,06:24:45,15:50:05,1000
"Lagemann, Mark ",USA,208,1442,1957,01:18:35,07:27:13,06:35:43,15:50:44,1000
"Maldonado Conde, Daniel ",ESP,209,1443,1958,01:38:20,07:31:36,06:14:04,15:50:49,1000
"Mormann, Daniel ",USA,210,1461,1981,01:27:39,07:37:40,06:21:36,15:54:14,1000
"Ogawa, Derek ",USA,211,1470,1997,01:32:58,07:40:30,06:27:32,15:57:25,1000
"Clover, Ross ",USA,212,1477,2006,01:32:38,07:13:37,06:40:41,16:00:17,1000
"Croninger, Kevin ",USA,213,1489,2025,01:41:05,07:20:42,06:38:59,16:04:34,1000
"Brown, Jesse ",USA,214,1553,2131,01:30:15,07:47:04,06:42:59,16:26:31,1000
"Jones, Dave ",USA,215,1567,2152,01:23:02,07:30:04,07:14:34,16:32:29,1000
"Kolbuck, Corey ",CAN,216,1586,2184,01:26:01,07:56:25,06:51:37,16:39:01,1000
"Slagle, Ansel ",USA,217,1587,2185,02:08:42,07:48:23,06:06:15,16:39:14,1000
"Hickman, Aaron ",USA,218,1595,2200,01:50:58,07:56:10,06:36:44,16:44:05,1000
"Knapp, Andrew ",USA,219,1602,2211,01:21:57,07:50:12,07:05:44,16:46:22,1000
"Fielding, Barry ",IRL,220,1612,2231,02:13:56,07:55:27,06:11:38,16:50:20,1000
"Frey, Adam ",USA,221,1618,2240,01:41:02,08:26:04,06:12:00,16:52:44,1000
"Gast, Jason ",USA,222,1625,2248,01:36:27,07:34:29,07:14:33,16:54:05,1000
"Peterson, Michael ",USA,---,---,---,01:30:16,---,---,DNF,---
"Piotrowski, Wojciech ",POL,---,---,---,01:20:09,07:00:54,---,DNF,---
"Reichwaldt, Ryan ",USA,---,---,---,02:17:32,---,---,DNF,---
"Schutte, Steven ",USA,---,---,---,01:17:34,---,---,DNF,---
"Balk, Kyle ",USA,---,---,---,02:17:10,08:19:09,05:41:16,DNF,---
"Bazin, Jacques ",CAN,---,---,---,01:28:09,09:04:43,05:57:47,DNF,---
"Fryer, Kevin ",USA,---,---,---,01:25:09,---,---,DNF,---
"Daggett, Gregory ",USA,---,---,---,01:39:14,---,---,DNF,---
"Berenjian, Amir ",USA,---,---,---,---,---,---,DNS,---
"Holbrook, Jason ",USA,---,---,---,---,---,---,DNS,---
"Hutton, Brian ",USA,---,---,---,---,---,---,DNS,---
"Kucharas, Pete ",USA,---,---,---,---,---,---,DNS,---
"Landeau, Carlos ",VEN,---,---,---,---,---,---,DNS,---
"Lorenzen, Ben ",USA,---,---,---,---,---,---,DNS,---
"Mathes, Scott ",USA,---,---,---,---,---,---,DNS,---
"Mcelveen, Kiel ",USA,---,---,---,---,---,---,DNS,---
"Milburn, Matt ",USA,---,---,---,---,---,---,DNS,---
"Minosa, Mark ",USA,---,---,---,---,---,---,DNS,---
"Montet, Jonathan ",USA,---,---,---,---,---,---,DNS,---
"Patterson, Jeff ",CAN,---,---,---,---,---,---,DNS,---
"Griffin, Ryan ",USA,---,---,---,---,---,---,DNS,---
"Greenley, Joseph ",USA,---,---,---,---,---,---,DNS,---
"Gillenwater, Collin ",USA,---,---,---,---,---,---,DNS,---
"Rodrigues, Michael ",USA,---,---,---,---,---,---,DNS,---
"Rohan, Luke ",USA,---,---,---,---,---,---,DNS,---
"Rudis, Jason ",USA,---,---,---,---,---,---,DNS,---
"Flynn, Alan ",USA,---,---,---,---,---,---,DNS,---
"Soddu, Luigi ",ITA,---,---,---,---,---,---,DNS,---
"Duco, Luis ",USA,---,---,---,---,---,---,DNS,---
"D'Hondt, Michael ",USA,---,---,---,---,---,---,DNS,---
"Anderson, James ",USA,---,---,---,---,---,---,DNS,---
"Ariens, Nick ",USA,---,---,---,---,---,---,DNS,---
"Congdon, Bradford ",USA,---,---,---,---,---,---,DNS,---
"Beach, Eric ",USA,---,---,---,---,---,---,DNS,---
"Belken, Matt ",USA,---,---,---,---,---,---,DNS,---
"Bell, Kevin ",USA,---,---,---,---,---,---,DNS,---
"Booth, Andrew ",USA,---,---,---,---,---,---,DNS,---
"Hansen, Patrick ",USA,---,---,---,---,---,---,DNS,---
